name,state,pop,area,cases,case_rate
Madison,Alabama,372909,801,125,3
Mitchell,Kansas,5979,701,2,3
Wayne,New York,89918,603,30,3
San Diego,California,3338330,4206,1112,3
Greene,Pennsylvania,36233,575,12,3
Freeborn,Minnesota,30281,707,10,3
Lake,Ohio,230149,227,76,3
Delaware,Ohio,209177,443,69,3
Union,South Carolina,27316,514,9,3
Martin,Florida,161000,543,53,3
San Luis Obispo,California,283111,3298,93,3
Deer Lodge,Montana,9140,736,3,3
Wright,Missouri,18289,681,6,3
Lee,Mississippi,85436,449,28,3
St Joseph,Indiana,271826,457,89,3
Brazos,Texas,229211,585,75,3
Howard,Indiana,82544,293,27,3
Davie,North Carolina,42846,264,14,3
Christian,Kentucky,70461,717,23,3
Humboldt,California,135558,3567,44,3
Madison,Florida,18493,695,6,3
Poweshiek,Iowa,18504,584,6,3
Terry,Texas,12337,888,4,3
Brooks,Georgia,15457,493,5,3
Clinton,Iowa,46429,694,15,3
Shiawassee,Michigan,68122,530,22,3
Wilkin,Minnesota,6207,750,2,3
Clarke,Mississippi,15541,691,5,3
Nez Perce,Idaho,40408,848,13,3
Codington,South Dakota,28009,688,9,3
Ottawa,Oklahoma,31127,470,10,3
Oklahoma,Oklahoma,797434,708,256,3
Cecil,Maryland,102855,346,33,3
York,Pennsylvania,449058,904,144,3
Manatee,Florida,403253,742,129,3
Reynolds,Missouri,6270,808,2,3
Lexington,South Carolina,298750,698,95,3
Lawrence,Mississippi,12586,430,4,3
Choctaw,Alabama,12589,913,4,3
Faulkner,Arkansas,126007,647,40,3
Glynn,Georgia,85292,419,27,3
Davidson,North Carolina,167609,552,53,3
Sanilac,Michigan,41170,962,13,3
Laurens,Georgia,47546,807,15,3
Silver Bow,Montana,34915,718,11,3
Lamar,Georgia,19077,183,6,3
Fort Bend,Texas,811688,861,255,3
Spink,South Dakota,6376,1503,2,3
Limestone,Alabama,98915,559,31,3
Columbia,Wisconsin,57532,765,18,3
Warren,New York,63944,866,20,3
Indian River,Florida,159923,502,50,3
Logan,Colorado,22409,1838,7,3
Foster,North Dakota,3210,635,1,3
Pima,Arizona,1047279,9187,326,3
Chelan,Washington,77200,2920,24,3
Nevada,California,99755,957,31,3
Rowan,North Carolina,142088,511,44,3
Macon,Georgia,12947,400,4,3
Lowndes,Alabama,9726,715,3,3
Lapeer,Michigan,87607,643,27,3
St Clair,Illinois,259686,657,80,3
Columbia,Pennsylvania,64964,483,20,3
Denton,Texas,887207,878,273,3
Johnson,Kansas,602401,473,185,3
Wilkes,Georgia,9777,469,3,3
Jefferson,Missouri,225081,656,69,3
Comanche,Oklahoma,120749,1069,37,3
Washington,Alabama,16326,1080,5,3
Fannin,Georgia,26188,386,8,3
Cross,Arkansas,16419,616,5,3
Hockley,Texas,23021,908,7,3
Imperial,California,181215,4176,55,3
Clark,Kentucky,36263,252,11,3
Monroe,Indiana,148431,394,45,3
Caldwell,Louisiana,9918,529,3,3
Clinch,Georgia,6618,800,2,3
Pike,Alabama,33114,672,10,3
Orangeburg,South Carolina,86175,1106,26,3
Henry,Iowa,19954,434,6,3
Chesterfield,Virginia,352802,423,106,3
Lincoln,Montana,19980,3612,6,3
Cabarrus,North Carolina,216453,361,65,3
Webb,Texas,276652,3361,83,3
St Marys,Maryland,113510,357,34,3
Porter,Indiana,170389,418,51,3
Jasper,South Carolina,30073,655,9,3
Woodford,Kentucky,26734,188,8,3
Lowndes,Georgia,117406,496,35,3
King George,Virginia,26836,179,8,3
DeWitt,Texas,20160,908,6,3
Jefferson,West Virginia,57146,209,17,3
Bernalillo,New Mexico,679121,1160,202,3
Sarasota,Florida,433742,555,129,3
Carroll,Ohio,26914,394,8,3
Williamsburg,South Carolina,30368,934,9,3
Orleans,Vermont,27037,693,8,3
Cheatham,Tennessee,40667,302,12,3
Cortland,New York,47581,498,14,3
Herkimer,New York,61319,1411,18,3
Scott,Indiana,23873,190,7,3
Panola,Mississippi,34192,685,10,3
Utah,Utah,636235,2003,186,3
White,Arkansas,78753,1035,23,3
Fond du Lac,Wisconsin,103403,719,30,3
Glades,Florida,13811,806,4,3
Polk,North Carolina,20724,237,6,3
DeSoto,Florida,38001,637,11,3
Delaware,Indiana,114135,392,33,3
York,South Carolina,280979,680,81,3
Natrona,Wyoming,79858,5340,23,3
Jefferson Davis,Louisiana,31368,651,9,3
Moore,Texas,20940,899,6,3
Jefferson,Mississippi,6990,519,2,3
Livingston,New York,62914,631,18,3
Okmulgee,Oklahoma,38465,697,11,3
Newton,Mississippi,21018,578,6,3
Darlington,South Carolina,66618,561,19,3
Linn,Oregon,129749,2290,37,3
Chesterfield,South Carolina,45650,799,13,3
Paulding,Georgia,168667,312,48,3
Macon,Tennessee,24602,307,7,3
Franklin,Tennessee,42208,554,12,3
Southampton,Virginia,17631,599,5,3
Catron,New Mexico,3527,6923,1,3
Union,Indiana,7054,161,2,3
Walton,Florida,74071,1037,21,3
Randolph,Missouri,24748,482,7,3
Licking,Ohio,176862,682,50,3
Juniata,Pennsylvania,24763,391,7,3
Harrison,West Virginia,67256,416,19,3
Highlands,Florida,106221,1016,30,3
Ontario,New York,109777,644,31,3
Hancock,Iowa,10630,571,3,3
Chatham,North Carolina,74470,682,21,3
Greene,Indiana,31922,542,9,3
Buffalo,Nebraska,49659,968,14,3
Frederick,Maryland,259547,660,73,3
Clark,Washington,488241,629,137,3
McPherson,Kansas,28542,898,8,3
Okaloosa,Florida,210738,930,59,3
Carroll,Illinois,14305,444,4,3
Union,North Carolina,239859,631,67,3
Sauk,Wisconsin,64442,830,18,3
St Clair,Alabama,89512,631,25,3
Calhoun,Mississippi,14361,586,4,3
York,Virginia,68280,104,19,3
Boyd,Kentucky,46718,159,13,3
Wabasha,Minnesota,21627,522,6,3
Jessamine,Kentucky,54115,172,15,3
Cheboygan,Michigan,25276,715,7,3
Macon,Alabama,18068,608,5,3
Dorchester,South Carolina,162809,573,45,3
Pickens,Georgia,32591,232,9,3
Forest,Pennsylvania,7247,427,2,3
Mobile,Alabama,413210,1229,114,3
Strafford,New Hampshire,130633,368,36,3
Watonwan,Minnesota,10897,434,3,3
Calhoun,South Carolina,14553,381,4,3
Hutchinson,South Dakota,7291,812,2,3
Lenawee,Michigan,98451,749,27,3
Montgomery,Alabama,226486,784,62,3
Benton,Iowa,25645,716,7,3
Honolulu,Hawaii,974563,600,266,3
Cannon,Tennessee,14678,265,4,3
Harris,Texas,4713325,1703,1284,3
Appling,Georgia,18386,507,5,3
Whiteside,Illinois,55175,684,15,3
McClain,Oklahoma,40474,570,11,3
Santa Rosa,Florida,184313,1011,50,3
Georgetown,South Carolina,62680,813,17,3
Lincoln,Missouri,59013,626,16,3
Washington,Rhode Island,125577,329,34,3
Carbon,Wyoming,14800,7897,4,3
Kanawha,West Virginia,178124,901,48,3
Sussex,Virginia,11159,490,3,3
Frederick,Virginia,89313,413,24,3
Charlevoix,Michigan,26143,416,7,3
Clark,South Dakota,3736,957,1,3
Cumberland,New Jersey,149527,483,40,3
Clay,North Carolina,11231,214,3,3
Clinton,Illinois,37562,474,10,3
Contra Costa,California,1153526,715,307,3
Ohio,West Virginia,41411,105,11,3
Windham,Connecticut,116782,512,31,3
Park,Colorado,18845,2193,5,3
Alameda,California,1671329,739,443,3
Brown,Indiana,15092,311,4,3
Lyman,South Dakota,3781,1641,1,3
Barrow,Georgia,83240,160,22,3
Montgomery,New York,49221,403,13,3
Cass,North Dakota,181923,1764,48,3
Johnson,Arkansas,26578,659,7,3
Valley,Idaho,11392,3664,3,3
Wasco,Oregon,26682,2381,7,3
Champaign,Illinois,209689,996,55,3
Hemphill,Texas,3819,906,1,3
Douglas,Kansas,122259,455,32,3
Mecklenburg,Virginia,30587,625,8,3
Washington,New York,61204,831,16,3
Maricopa,Arizona,4485414,9200,1171,3
Lewis,Idaho,3838,478,1,3
Ramsey,North Dakota,11519,1186,3,3
Hardin,Texas,57602,890,15,3
Monroe,Illinois,34637,385,9,3
Concordia,Louisiana,19259,696,5,3
Washington,North Carolina,11580,348,3,3
Lake,Florida,367118,938,95,3
Union,Arkansas,38682,1039,10,3
Riverside,California,2470546,7206,638,3
Queen Annes,Maryland,50381,371,13,3
Forsyth,Georgia,244252,224,63,3
Merrick,Nebraska,7755,484,2,3
Winona,Minnesota,50484,626,13,3
Kent,Maryland,19422,277,5,3
Lawrence,Pennsylvania,85512,358,22,3
Washakie,Wyoming,7805,2238,2,3
Delaware,Oklahoma,43009,738,11,3
Blount,Tennessee,133088,558,34,3
Adams,Nebraska,31363,563,8,3
Wake,North Carolina,1111761,835,283,3
Jackson,Tennessee,11786,308,3,3
Orange,Indiana,19646,398,5,3
Etowah,Alabama,102268,534,26,3
Grand,Colorado,15734,1846,4,3
Marshall,Iowa,39369,572,10,3
Clarke,Alabama,23622,1238,6,3
Monroe,Georgia,27578,395,7,3
Searcy,Arkansas,7881,666,2,3
Belmont,Ohio,67006,532,17,3
Calhoun,Michigan,134159,706,34,3
Florence,South Carolina,138293,799,35,3
Vermilion,Louisiana,59511,1173,15,3
Flagler,Florida,115081,485,29,3
Richmond,Georgia,202518,324,51,3
Sacramento,California,1552058,964,390,3
Columbia,Washington,3985,868,1,3
Chambers,Texas,43837,597,11,3
Cherokee,Kansas,19939,587,5,3
Polk,Arkansas,19964,857,5,3
Muskogee,Oklahoma,67997,810,17,3
Franklin,Virginia,56042,8,14,2
Taylor,Georgia,8020,376,2,2
Stafford,Virginia,152882,268,38,2
Stark,Ohio,370606,575,92,2
Northumberland,Virginia,12095,191,3,2
Orleans,New York,40352,391,10,2
Accomack,Virginia,32316,449,8,2
Benton,Tennessee,16160,394,4,2
Orange,California,3175692,790,786,2
Collin,Texas,1034730,841,256,2
Teton,Idaho,12142,449,3,2
Albemarle,Virginia,109330,720,27,2
Finney,Kansas,36467,1301,9,2
Dubuque,Iowa,97311,608,24,2
Alamosa,Colorado,16233,722,4,2
Twiggs,Georgia,8120,358,2,2
Live Oak,Texas,12207,1039,3,2
Washington,Georgia,20374,678,5,2
Baldwin,Georgia,44890,257,11,2
Smith,Texas,232751,921,57,2
Abbeville,South Carolina,24527,490,6,2
Payne,Oklahoma,81784,684,20,2
Marion,Mississippi,24573,542,6,2
DeKalb,Tennessee,20490,304,5,2
Houston,Tennessee,8201,200,2,2
Placer,California,398329,1407,97,2
Charlotte,Florida,188910,680,46,2
San Joaquin,California,762148,1391,185,2
Oscoda,Michigan,8241,565,2,2
Dodge,Georgia,20605,495,5,2
Volusia,Florida,553284,1101,134,2
Weber,Utah,260213,576,63,2
Warren,Indiana,8265,364,2,2
Jones,Iowa,20681,575,5,2
Putnam,Florida,74521,727,18,2
Stoddard,Missouri,29025,823,7,2
Monroe,Alabama,20733,1025,5,2
Gloucester,Virginia,37348,217,9,2
Morgan,Colorado,29068,1280,7,2
Stafford,Kansas,4156,792,1,2
Loudon,Tennessee,54068,229,13,2
Socorro,New Mexico,16637,6646,4,2
Dunklin,Missouri,29131,541,7,2
Centre,Pennsylvania,162385,1109,39,2
Knox,Nebraska,8332,1108,2,2
Ventura,California,846006,1843,203,2
Ben Hill,Georgia,16700,250,4,2
Hardeman,Tennessee,25050,667,6,2
Harrison,Missouri,8352,722,2,2
Marion,Georgia,8359,366,2,2
Oswego,New York,117124,951,28,2
Colleton,South Carolina,37677,1056,9,2
Crawford,Iowa,16820,714,4,2
Merrimack,New Hampshire,151391,934,36,2
Greene,North Carolina,21069,265,5,2
Nassau,Florida,88625,648,21,2
Red River,Louisiana,8442,389,2,2
Sioux,North Dakota,4230,1094,1,2
Pamlico,North Carolina,12726,336,3,2
Yellowstone,Montana,161300,2633,38,2
Cerro Gordo,Iowa,42450,568,10,2
Caldwell,Kentucky,12747,344,3,2
Tooele,Utah,72259,6941,17,2
Bibb,Georgia,153159,249,36,2
McDuffie,Georgia,21312,257,5,2
Madison,Georgia,29880,282,7,2
Willacy,Texas,21358,590,5,2
Mason,Texas,4274,928,1,2
Elmore,Alabama,81209,618,19,2
Montgomery,Texas,607391,1041,142,2
Kern,California,900202,8131,210,2
Buckingham,Virginia,17148,579,4,2
McLean,Illinois,171517,1183,40,2
Kent,Michigan,656955,846,153,2
Adams,Idaho,4294,1363,1,2
Boyle,Kentucky,30060,180,7,2
Bay,Michigan,103126,442,24,2
Jackson,Alabama,51626,1077,12,2
Polk,Oregon,86085,740,20,2
Vernon,Louisiana,47429,1327,11,2
Marion,West Virginia,56072,308,13,2
Webster,Kentucky,12942,331,3,2
Brown,South Dakota,38839,1712,9,2
Greene,Tennessee,69069,622,16,2
Wilcox,Georgia,8635,377,2,2
St Lucie,Florida,328297,571,76,2
Iredell,North Carolina,181806,573,42,2
Lincoln,Maine,34634,455,8,2
Franklin,Missouri,103967,922,24,2
Grant,Oklahoma,4333,1000,1,2
Jenkins,Georgia,8676,347,2,2
Carteret,North Carolina,69473,506,16,2
Allendale,South Carolina,8688,408,2,2
Forsyth,North Carolina,382295,408,88,2
Nacogdoches,Texas,65204,946,15,2
Maries,Missouri,8697,526,2,2
Deuel,South Dakota,4351,622,1,2
Branch,Michigan,43517,506,10,2
Wyandot,Ohio,21772,406,5,2
Douglas,Nebraska,571327,328,131,2
Shenandoah,Virginia,43616,508,10,2
Cherokee,Alabama,26196,553,6,2
Fairfield,Ohio,157574,504,36,2
Gray,Texas,21886,925,5,2
Belknap,New Hampshire,61303,400,14,2
Grant,Indiana,65769,414,15,2
Citrus,Florida,149657,581,34,2
Maui,Hawaii,167417,1161,38,2
Clearwater,Minnesota,8818,998,2,2
Mathews,Virginia,8834,85,2,2
Knox,Maine,39772,365,9,2
Dunn,North Dakota,4424,2008,1,2
Moffat,Colorado,13283,4743,3,2
Miami,Indiana,35516,373,8,2
Spartanburg,South Carolina,319785,807,72,2
Cameron,Pennsylvania,4447,396,1,2
Schuyler,New York,17807,328,4,2
Vance,North Carolina,44535,253,10,2
Elbert,Colorado,26729,1850,6,2
Murray,Georgia,40096,344,9,2
Wilkinson,Georgia,8954,447,2,2
Kootenai,Idaho,165697,1244,37,2
Carlton,Minnesota,35871,861,8,2
Wahkiakum,Washington,4488,263,1,2
Polk,Iowa,490161,573,109,2
Washington,Pennsylvania,206865,856,46,2
Lowndes,Mississippi,58595,505,13,2
Chatham,Georgia,289430,426,64,2
Thurston,Washington,290536,721,64,2
Montgomery,Tennessee,208993,539,46,2
Faribault,Minnesota,13653,712,3,2
Scott,Iowa,172943,458,38,2
Whitman,Washington,50104,2159,11,2
Menominee,Wisconsin,4556,357,1,2
Iron,Utah,54839,3296,12,2
Coshocton,Ohio,36600,563,8,2
Greene,Missouri,293086,675,64,2
Steele,Minnesota,36649,429,8,2
Lonoke,Arkansas,73309,770,16,2
OBrien,Iowa,13753,573,3,2
Maury,Tennessee,96387,613,21,2
Hays,Texas,230191,677,50,2
Converse,Wyoming,13822,4254,3,2
Wharton,Texas,41556,1086,9,2
Chippewa,Wisconsin,64658,1008,14,2
Green,Wisconsin,36960,583,8,2
Carroll,Tennessee,27767,599,6,2
Wayne,Ohio,115710,554,25,2
Santa Cruz,California,273213,445,59,2
Musselshell,Montana,4633,1868,1,2
Canadian,Oklahoma,148306,896,32,2
Multnomah,Oregon,812855,431,175,2
Charles Mix,South Dakota,9292,1097,2,2
Jasper,Iowa,37185,730,8,2
New London,Connecticut,265206,664,57,2
Autauga,Alabama,55869,594,12,2
Yamhill,Oregon,107100,715,23,2
Gogebic,Michigan,13975,1101,3,2
Covington,Mississippi,18636,413,4,2
Jefferson,Ohio,65325,408,14,2
Franklin,Georgia,23349,261,5,2
Clay,South Dakota,14070,412,3,2
Cumberland,Pennsylvania,253370,545,54,2
Henderson,North Carolina,117417,373,25,2
Bradford,Florida,28201,293,6,2
Calhoun,Florida,14105,567,3,2
Poinsett,Arkansas,23528,758,5,2
Sonoma,California,494336,1575,105,2
Craig,Oklahoma,14142,761,3,2
McLean,North Dakota,9450,2110,2,2
Pike,Georgia,18962,216,4,2
Erath,Texas,42698,1083,9,2
Columbia,Georgia,156714,290,33,2
Scott,Kentucky,57004,281,12,2
Knox,Tennessee,470313,508,99,2
Emmet,Michigan,33415,467,7,2
Racine,Wisconsin,196311,332,41,2
Jones,Georgia,28735,393,6,2
Payette,Idaho,23951,406,5,2
Kittitas,Washington,47935,2297,10,2
Stephens,Oklahoma,43143,870,9,2
Larue,Kentucky,14398,261,3,2
St Francois,Missouri,67215,451,14,2
Lumpkin,Georgia,33610,282,7,2
Hancock,West Virginia,28810,82,6,2
Union,Mississippi,28815,415,6,2
Jasper,Illinois,9610,494,2,2
Newberry,South Carolina,38440,630,8,2
Cass,Missouri,105780,696,22,2
Kauai,Hawaii,72293,619,15,2
Douglas,Washington,43429,1819,9,2
Ward,North Dakota,67641,2013,14,2
Blue Earth,Minnesota,67653,747,14,2
Tuscarawas,Ohio,91987,567,19,2
Bourbon,Kansas,14534,635,3,2
Hernando,Florida,193920,472,40,2
Neshoba,Mississippi,29118,570,6,2
Shelby,Ohio,48590,407,10,2
Washington,Minnesota,262440,384,54,2
Cherokee,Oklahoma,48657,749,10,2
Tuscaloosa,Alabama,209355,1321,43,2
Lamar,Mississippi,63343,497,13,2
Hale,Alabama,14651,643,3,2
Midland,Michigan,83156,516,17,2
Potter,Texas,117415,908,24,2
Rock Island,Illinois,141879,427,29,2
Labette,Kansas,19618,645,4,2
Adams,Pennsylvania,103009,518,21,2
Washington,Colorado,4908,2518,1,2
Montcalm,Michigan,63888,705,13,2
Jackson,Texas,14760,829,3,2
Cape Girardeau,Missouri,78871,578,16,2
Randolph,Indiana,24665,452,5,2
Marshall,South Dakota,4935,838,1,2
Clay,Minnesota,64222,1045,13,2
Rusk,Texas,54406,924,11,2
Bourbon,Kentucky,19788,289,4,2
Arenac,Michigan,14883,363,3,2
Cumberland,Virginia,9932,297,2,2
Chaves,New Mexico,64615,6065,13,2
Franklin,North Carolina,69685,491,14,2
Pasquotank,North Carolina,39824,226,8,2
Sioux,Iowa,34855,768,7,2
Lincoln,Oklahoma,34877,952,7,2
Morgan,Alabama,119679,579,24,2
Big Stone,Minnesota,4991,499,1,2
Winneshiek,Iowa,19991,689,4,2
Talladega,Alabama,79978,736,16,2
Halifax,North Carolina,50010,724,10,2
Franklin,New York,50022,1629,10,2
Yuma,Colorado,10019,2364,2,2
Bayfield,Wisconsin,15036,1477,3,2
Hennepin,Minnesota,1265843,553,252,2
Page,Iowa,15107,534,3,2
Macon,Missouri,15117,801,3,2
Bullock,Alabama,10101,622,2,2
Garfield,Utah,5051,5175,1,2
Chicot,Arkansas,10118,644,2,2
Kenton,Kentucky,166998,160,33,2
Berkeley,South Carolina,227907,1098,45,2
Wayne,Kentucky,20333,458,4,2
McDowell,North Carolina,45756,440,9,2
Posey,Indiana,25427,409,5,2
Warren,Missouri,35649,428,7,2
Polk,Florida,724777,1797,142,2
Taylor,Texas,138034,915,27,2
Saluda,South Carolina,20473,452,4,2
Keokuk,Iowa,10246,579,2,2
Love,Oklahoma,10253,514,2,2
McLennan,Texas,256623,1037,50,2
Mason,Washington,66768,959,13,2
Atchison,Missouri,5143,547,1,2
Bradley,Tennessee,108110,328,21,2
Torrance,New Mexico,15461,3344,3,2
Madison,Tennessee,97984,557,19,2
Pitt,North Carolina,180742,651,35,2
Hamilton,Tennessee,367804,542,71,2
Vanderburgh,Indiana,181451,233,35,2
Stephens,Georgia,25925,179,5,2
Grenada,Mississippi,20758,422,4,2
Flathead,Montana,103806,5087,20,2
Pinal,Arizona,462789,5365,89,2
Tarrant,Texas,2102515,863,404,2
Barnes,North Dakota,10415,1491,2,2
Washington,Maryland,151049,457,29,2
Beaufort,North Carolina,46994,827,9,2
Gaston,North Carolina,224529,356,43,2
Franklin,Alabama,31362,633,6,2
Nash,North Carolina,94298,540,18,2
Klamath,Oregon,68238,5941,13,2
Warrick,Indiana,62998,384,12,2
Kingfisher,Oklahoma,15765,898,3,2
Pulaski,Missouri,52607,547,10,2
Amherst,Virginia,31605,473,6,2
Pemiscot,Missouri,15805,492,3,2
Essex,New York,36885,1794,7,2
Kendall,Texas,47431,662,9,2
Oxford,Maine,57975,2076,11,2
Telfair,Georgia,15860,437,3,2
Mitchell,Iowa,10586,469,2,2
Montgomery,Kansas,31829,643,6,2
Noble,Indiana,47744,410,9,2
Dyer,Tennessee,37159,512,7,2
Jo Daviess,Illinois,21235,601,4,2
Union,South Dakota,15932,460,3,2
Dallas,Alabama,37196,978,7,2
Carroll,Kentucky,10631,128,2,2
Osage,Kansas,15949,705,3,2
Sedgwick,Kansas,516042,997,97,2
Simpson,Mississippi,26658,589,5,2
Lewis and Clark,Montana,69432,3458,13,2
Morgan,Tennessee,21403,522,4,2
Wyoming,Pennsylvania,26794,397,5,2
Toombs,Georgia,26830,364,5,2
Bates,Missouri,16172,836,3,2
Saunders,Nebraska,21578,750,4,2
Armstrong,Pennsylvania,64735,653,12,2
Mackinac,Michigan,10799,1021,2,2
Miller,Arkansas,43257,625,8,2
Calhoun,Alabama,113605,605,21,2
Androscoggin,Maine,108277,467,20,2
Pulaski,Kentucky,64979,658,12,2
Marion,Ohio,65093,403,12,2
Pueblo,Colorado,168424,2386,31,2
Defiance,Ohio,38087,411,7,2
Edgefield,South Carolina,27260,500,5,2
Chattahoochee,Georgia,10907,248,2,2
Fluvanna,Virginia,27270,286,5,2
Jasper,Mississippi,16383,676,3,2
Rockingham,Virginia,81948,849,15,2
Yavapai,Arizona,235099,8123,43,2
Scott,Missouri,38280,419,7,2
Pontotoc,Oklahoma,38284,720,7,2
Benton,Oregon,93053,675,17,2
Bond,Illinois,16426,380,3,2
Bowie,Texas,93245,885,17,2
Stevens,Kansas,5485,727,1,2
Deschutes,Oregon,197692,3018,36,2
Jefferson,New York,109834,1268,20,2
Audubon,Iowa,5496,442,1,2
DeKalb,Alabama,71513,777,13,2
Potter,Pennsylvania,16526,1081,3,2
DeKalb,Illinois,104897,631,19,2
Hoke,North Carolina,55234,390,10,2
Randolph,North Carolina,143667,782,26,2
Mahnomen,Minnesota,5527,557,1,2
Christian,Missouri,88595,562,16,2
Hale,Texas,33406,1004,6,2
Alleghany,North Carolina,11137,235,2,2
New Hanover,North Carolina,234473,191,42,2
Cullman,Alabama,83768,734,15,2
Rutherford,North Carolina,67029,564,12,2
Madison,Illinois,262966,715,47,2
Bibb,Alabama,22394,622,4,2
Muskegon,Michigan,173566,499,31,2
Box Elder,Utah,56046,5745,10,2
Morgan,Illinois,33658,568,6,2
Polk,Tennessee,16832,434,3,2
Jackson,Georgia,72977,339,13,2
Madera,California,157327,2137,28,2
Horry,South Carolina,354081,1133,63,2
Fayette,Pennsylvania,129274,790,23,2
Montgomery,Kentucky,28157,197,5,2
Lincoln,Minnesota,5639,536,1,2
Harnett,North Carolina,135976,594,24,2
Seneca,New York,34016,323,6,2
Grundy,Illinois,51054,418,9,2
Jackson,Illinois,56750,584,10,2
Desha,Arkansas,11361,768,2,2
Iron,Wisconsin,5687,758,1,2
Wood,Ohio,130817,617,23,2
Cherry,Nebraska,5689,5960,1,2
Marshall,Alabama,96774,565,17,2
Lincoln,Colorado,5701,2577,1,2
Guilford,North Carolina,537174,645,94,2
Warren,Iowa,51466,569,9,2
Randall,Texas,137713,911,24,2
Franklin,Pennsylvania,155027,772,27,2
McHenry,North Dakota,5745,1873,1,2
Tulare,California,466195,4824,81,2
Sheboygan,Wisconsin,115340,511,20,2
Martin,Texas,5771,914,1,2
Blount,Alabama,57826,644,10,2
LaPorte,Indiana,109888,598,19,2
Goodhue,Minnesota,46340,756,8,2
Lauderdale,Alabama,92729,667,16,2
Clark,Wisconsin,34774,1209,6,2
Panola,Texas,23194,801,4,2
Custer,Oklahoma,29003,988,5,2
Morrow,Oregon,11603,2031,2,2
Harford,Maryland,255441,437,44,2
Wirt,West Virginia,5821,232,1,2
Kennebec,Maine,122302,867,21,2
Saline,Arkansas,122437,723,21,2
Antrim,Michigan,23324,475,4,2
Hughes,South Dakota,17526,741,3,2
Clayton,Iowa,17549,778,3,2
Northampton,Virginia,11710,211,2,2
Bexar,Texas,2003554,1239,342,2
Osceola,Michigan,23460,566,4,2
Mayes,Oklahoma,41100,655,7,2
Harris,Georgia,35236,463,6,2
Ohio,Indiana,5875,86,1,2
Lyon,Iowa,11755,587,2,2
Blackford,Indiana,11758,165,2,2
Washington,Tennessee,129375,326,22,2
Kalamazoo,Michigan,265066,561,45,2
Owyhee,Idaho,11823,7665,2,2
Walton,Georgia,94593,325,16,2
Hertford,North Carolina,23677,353,4,2
Crawford,Ohio,41494,401,7,2
Shelby,Missouri,5930,500,1,2
Fulton,New York,53383,495,9,2
Muscogee,Georgia,195769,216,33,2
Livingston,Illinois,35648,1044,6,2
Marion,Kansas,11884,944,2,2
Brunswick,North Carolina,142820,846,24,2
Yolo,California,220500,1014,37,2
Tom Green,Texas,119200,1521,20,2
Heard,Georgia,11923,296,2,2
Blanco,Texas,11931,709,2,2
Sabine,Louisiana,23884,866,4,2
Greenwood,Kansas,5982,1143,1,2
Clinton,Ohio,41968,408,7,2
Henry,Indiana,47972,391,8,2
Caledonia,Vermont,29993,648,5,2
Young,Texas,18010,914,3,2
Cassia,Idaho,24030,2565,4,2
Tioga,New York,48203,518,8,2
Bradford,Pennsylvania,60323,1147,10,2
Conecuh,Alabama,12067,850,2,2
Washington,Kentucky,12095,297,2,2
Sutter,California,96971,602,16,2
Crowley,Colorado,6061,787,1,2
Marquette,Michigan,66699,1808,11,2
Sullivan,Pennsylvania,6066,449,1,2
Grant,Arkansas,18265,631,3,2
Otero,Colorado,18278,1261,3,2
Dodge,Nebraska,36565,528,6,2
Jefferson,Iowa,18295,435,3,2
Pierce,Wisconsin,42754,573,7,2
Jefferson,Montana,12221,1656,2,2
Eastland,Texas,18360,926,3,2
Taylor,Iowa,6121,531,1,2
George,Mississippi,24500,478,4,2
Solano,California,447643,821,73,2
Jackson,Oklahoma,24530,802,4,2
Lewis,Tennessee,12268,282,2,2
Manistee,Michigan,24558,542,4,2
Gibson,Tennessee,49133,602,8,2
Cowlitz,Washington,110593,1140,18,2
Pasco,Florida,553947,746,90,2
Alcorn,Mississippi,36953,400,6,2
Hamlin,South Dakota,6164,507,1,2
Douglas,Wisconsin,43150,1304,7,2
San Bernardino,California,2180085,20056,353,2
Deaf Smith,Texas,18546,1496,3,2
Humphreys,Tennessee,18582,530,3,2
Talbot,Maryland,37181,268,6,2
Waseca,Minnesota,18612,423,3,2
Lewis,Washington,80707,2402,13,2
Meigs,Tennessee,12422,195,2,2
La Crosse,Wisconsin,118016,451,19,2
Bedford,Tennessee,49713,473,8,2
Luce,Michigan,6229,899,1,2
Bell,Texas,362924,1051,58,2
Dodge,Wisconsin,87839,875,14,2
Yadkin,North Carolina,37667,334,6,2
Roanoke,Virginia,94186,42,15,2
Antelope,Nebraska,6298,857,1,2
Van Buren,Michigan,75677,607,12,2
Hawkins,Tennessee,56786,486,9,2
Woodruff,Arkansas,6320,586,1,2
Rio Blanco,Colorado,6324,3220,1,2
Clackamas,Oregon,418187,1870,66,2
Ellis,Texas,184826,935,29,2
Adair,Kentucky,19202,405,3,2
Logan,West Virginia,32019,453,5,2
Somerset,Maryland,25616,319,4,2
Woodford,Illinois,38459,527,6,2
Banks,Georgia,19234,232,3,2
Guadalupe,Texas,166847,711,26,2
Marion,Kentucky,19273,343,3,2
Allen,Indiana,379299,657,59,2
Jefferson,Indiana,32308,360,5,2
Berrien,Georgia,19397,451,3,2
Jackson,Iowa,19439,636,3,2
Benton,Missouri,19443,704,3,2
Butler,Ohio,383134,467,59,2
Kearney,Nebraska,6495,516,1,2
Buffalo,Wisconsin,13031,671,2,2
Jefferson,Wisconsin,84769,556,13,2
Cleveland,North Carolina,97947,464,15,2
Whitfield,Georgia,104628,290,16,2
