2020-04-04,"Ben Hill","Georgia",4
2020-04-04,"Bennington","Vermont",23
2020-04-04,"Benton","Arkansas",42
2020-04-04,"Benton","Iowa",7
2020-04-04,"Benton","Minnesota",1
2020-04-04,"Benton","Mississippi",5
2020-04-04,"Benton","Missouri",3
2020-04-04,"Benton","Oregon",17
2020-04-04,"Benton","Tennessee",4
2020-04-04,"Benton","Washington",151
2020-04-04,"Bergen","New Jersey",5760
2020-04-04,"Berkeley","South Carolina",45
2020-04-04,"Berkeley","West Virginia",49
2020-04-04,"Berks","Pennsylvania",235
2020-04-04,"Berkshire","Massachusetts",253
2020-04-04,"Bernalillo","New Mexico",202
2020-04-04,"Berrien","Georgia",3
2020-04-04,"Berrien","Michigan",56
2020-04-04,"Bertie","North Carolina",7
2020-04-04,"Bexar","Texas",342
2020-04-04,"Bibb","Alabama",4
2020-04-04,"Bibb","Georgia",36
2020-04-04,"Bienville","Louisiana",10
2020-04-04,"Big Stone","Minnesota",1
2020-04-04,"Bingham","Idaho",2
2020-04-04,"Black Hawk","Iowa",10
2020-04-04,"Blackford","Indiana",2
2020-04-04,"Bladen","North Carolina",1
2020-04-04,"Blaine","Idaho",405
2020-04-04,"Blair","Pennsylvania",5
2020-04-04,"Blanco","Texas",2
2020-04-04,"Bleckley","Georgia",1
2020-04-04,"Bledsoe","Tennessee",2
2020-04-04,"Blount","Alabama",10
2020-04-04,"Blount","Tennessee",34
2020-04-04,"Blue Earth","Minnesota",14
2020-04-04,"Bolivar","Mississippi",34
2020-04-04,"Bollinger","Missouri",1
2020-04-04,"Bon Homme","South Dakota",1
2020-04-04,"Bond","Illinois",3
2020-04-04,"Bonner","Idaho",2
2020-04-04,"Bonneville","Idaho",5
2020-04-04,"Boone","Arkansas",1
2020-04-04,"Boone","Indiana",50
2020-04-04,"Boone","Iowa",2
2020-04-04,"Boone","Kentucky",11
2020-04-04,"Boone","Missouri",75
2020-04-04,"Bossier","Louisiana",126
2020-04-04,"Botetourt","Virginia",14
2020-04-04,"Boulder","Colorado",143
2020-04-04,"Bourbon","Kansas",3
2020-04-04,"Bourbon","Kentucky",4
2020-04-04,"Bowie","Texas",17
2020-04-04,"Box Elder","Utah",10
2020-04-04,"Boyd","Kentucky",13
2020-04-04,"Boyle","Kentucky",7
2020-04-04,"Bracken","Kentucky",1
2020-04-04,"Bradford","Florida",6
2020-04-04,"Bradford","Pennsylvania",10
2020-04-04,"Bradley","Arkansas",4
2020-04-04,"Bradley","Tennessee",21
2020-04-04,"Branch","Michigan",10
2020-04-04,"Brazoria","Texas",144
2020-04-04,"Brazos","Texas",75
2020-04-04,"Breathitt","Kentucky",1
2020-04-04,"Bremer","Iowa",2
2020-04-04,"Brevard","Florida",72
2020-04-04,"Bristol","Massachusetts",601
2020-04-04,"Bristol","Rhode Island",21
2020-04-04,"Bristol","Virginia",1
2020-04-04,"Broadwater","Montana",4
2020-04-04,"Brookings","South Dakota",3
2020-04-04,"Brooks","Georgia",5
2020-04-04,"Broome","New York",65
2020-04-04,"Broomfield","Colorado",36
2020-04-04,"Broward","Florida",1765
2020-04-04,"Brown","Indiana",4
2020-04-04,"Brown","Minnesota",3
2020-04-04,"Brown","Ohio",3
2020-04-04,"Brown","South Dakota",9
2020-04-04,"Brown","Texas",4
2020-04-04,"Brown","Wisconsin",24
2020-04-04,"Brunswick","North Carolina",24
2020-04-04,"Brunswick","Virginia",1
2020-04-04,"Bryan","Georgia",15
2020-04-04,"Bryan","Oklahoma",3
2020-04-04,"Buchanan","Iowa",3
2020-04-04,"Buchanan","Missouri",8
2020-04-04,"Buckingham","Virginia",4
2020-04-04,"Bucks","Pennsylvania",517
2020-04-04,"Buena Vista","Virginia",1
2020-04-04,"Buffalo","Nebraska",14
2020-04-04,"Buffalo","Wisconsin",2
2020-04-04,"Bullitt","Kentucky",11
2020-04-04,"Bulloch","Georgia",5
2020-04-04,"Bullock","Alabama",2
2020-04-04,"Buncombe","North Carolina",31
2020-04-04,"Bureau","Illinois",3
2020-04-04,"Burke","Georgia",8
2020-04-04,"Burke","North Carolina",13
2020-04-04,"Burke","North Dakota",2
2020-04-04,"Burleigh","North Dakota",34
2020-04-04,"Burleson","Texas",2
2020-04-04,"Burlington","New Jersey",469
2020-04-04,"Burnet","Texas",4
2020-04-04,"Butler","Alabama",1
2020-04-04,"Butler","Iowa",1
2020-04-04,"Butler","Kansas",8
2020-04-04,"Butler","Kentucky",1
2020-04-04,"Butler","Missouri",2
2020-04-04,"Butler","Ohio",59
2020-04-04,"Butler","Pennsylvania",84
2020-04-04,"Butte","California",11
2020-04-04,"Butts","Georgia",10
2020-04-04,"Cabarrus","North Carolina",65
2020-04-04,"Cabell","West Virginia",5
2020-04-04,"Cache","Utah",16
2020-04-04,"Caddo","Louisiana",598
2020-04-04,"Caddo","Oklahoma",4
2020-04-04,"Calaveras","California",4
2020-04-04,"Calcasieu","Louisiana",135
2020-04-04,"Caldwell","Kentucky",3
2020-04-04,"Caldwell","Louisiana",3
2020-04-04,"Caldwell","Missouri",1
2020-04-04,"Caldwell","North Carolina",5
2020-04-04,"Caldwell","Texas",3
2020-04-04,"Caledonia","Vermont",5
2020-04-04,"Calhoun","Alabama",21
2020-04-04,"Calhoun","Florida",3
2020-04-04,"Calhoun","Georgia",11
2020-04-04,"Calhoun","Michigan",34
2020-04-04,"Calhoun","Mississippi",4
2020-04-04,"Calhoun","South Carolina",4
2020-04-04,"Calhoun","Texas",8
2020-04-04,"Callaway","Missouri",18
2020-04-04,"Calloway","Kentucky",5
2020-04-04,"Calumet","Wisconsin",3
2020-04-04,"Calvert","Maryland",33
2020-04-04,"Camas","Idaho",1
2020-04-04,"Cambria","Pennsylvania",6
2020-04-04,"Camden","Georgia",6
2020-04-04,"Camden","Missouri",20
2020-04-04,"Camden","New Jersey",481
2020-04-04,"Cameron","Pennsylvania",1
2020-04-04,"Cameron","Texas",62
2020-04-04,"Camp","Texas",1
2020-04-04,"Campbell","Kentucky",12
2020-04-04,"Campbell","Tennessee",5
2020-04-04,"Campbell","Virginia",2
2020-04-04,"Campbell","Wyoming",7
2020-04-04,"Canadian","Oklahoma",32
2020-04-04,"Candler","Georgia",1
2020-04-04,"Cannon","Tennessee",4
2020-04-04,"Canyon","Idaho",89
2020-04-04,"Cape Girardeau","Missouri",16
2020-04-04,"Cape May","New Jersey",50
2020-04-04,"Carbon","Montana",1
2020-04-04,"Carbon","Pennsylvania",46
2020-04-04,"Carbon","Utah",1
2020-04-04,"Carbon","Wyoming",4
2020-04-04,"Carlton","Minnesota",8
2020-04-04,"Caroline","Maryland",4
2020-04-04,"Caroline","Virginia",1
2020-04-04,"Carroll","Arkansas",1
2020-04-04,"Carroll","Georgia",149
2020-04-04,"Carroll","Illinois",4
2020-04-04,"Carroll","Indiana",3
2020-04-04,"Carroll","Iowa",1
2020-04-04,"Carroll","Kentucky",2
2020-04-04,"Carroll","Maryland",134
2020-04-04,"Carroll","Mississippi",5
2020-04-04,"Carroll","New Hampshire",17
2020-04-04,"Carroll","Ohio",8
2020-04-04,"Carroll","Tennessee",6
2020-04-04,"Carroll","Virginia",1
2020-04-04,"Carson City","Nevada",10
2020-04-04,"Carter","Kentucky",1
2020-04-04,"Carter","Missouri",3
2020-04-04,"Carter","Oklahoma",1
2020-04-04,"Carter","Tennessee",3
2020-04-04,"Carteret","North Carolina",16
2020-04-04,"Carver","Minnesota",10
2020-04-04,"Cascade","Montana",11
2020-04-04,"Cass","Indiana",4
2020-04-04,"Cass","Michigan",6
2020-04-04,"Cass","Minnesota",1
2020-04-04,"Cass","Missouri",22
2020-04-04,"Cass","Nebraska",2
2020-04-04,"Cass","North Dakota",48
2020-04-04,"Cass","Texas",4
2020-04-04,"Cassia","Idaho",4
2020-04-04,"Castro","Texas",11
2020-04-04,"Caswell","North Carolina",1
2020-04-04,"Catahoula","Louisiana",9
2020-04-04,"Catawba","North Carolina",22
2020-04-04,"Catoosa","Georgia",6
2020-04-04,"Catron","New Mexico",1
2020-04-04,"Cattaraugus","New York",9
2020-04-04,"Cayuga","New York",7
2020-04-04,"Cecil","Maryland",33
2020-04-04,"Cedar","Iowa",11
2020-04-04,"Cedar","Missouri",5
2020-04-04,"Centre","Pennsylvania",39
2020-04-04,"Cerro Gordo","Iowa",10
2020-04-04,"Chaffee","Colorado",19
2020-04-04,"Chambers","Alabama",87
2020-04-04,"Chambers","Texas",11
2020-04-04,"Champaign","Illinois",55
